"","zip","gross_income","num_dependents","adj_gross_income","total_income_returns","total_income_amount","agi_salaries_wages_returns","agi_salaries_wages_amount","farm_returns","unemployment_compensation_returns","unemployment_compensation_amount","state_local_income_tax_returns","state_local_income_tax_amount","state_local_general_sales_returns","state_local_general_sales_amount","real_estate_returns","real_estate_amount","taxes_paid_returns","taxes_paid_amount","taxable_income_returns","taxable_income_amount","child_tax_credit_returns","child_tax_credit_amount","total_tax_payments_returns","total_tax_payments_amount","tax_due_at_filing_returns","tax_due_at_filing_amount","overpayments_refunded_returns","overpayments_refunded_amount"
"2158",37830,"$1 under $25,000",2340,65050,5400,66205,4380,50765,0,160,523,0,0,190,190,170,352,230,584,2320,13397,160,53,4980,11133,400,271,4710,9244
"2159",37830,"$25,000 under $50,000",1750,108687,3000,109904,2450,82391,0,100,364,30,41,340,461,350,660,410,1184,2890,57657,620,559,2940,12422,460,521,2490,6147
"2160",37830,"$50,000 under $75,000",1170,110636,1800,111863,1410,75827,0,50,169,40,91,390,674,430,925,480,1753,1790,72769,460,726,1770,12203,470,945,1300,3473
"2161",37830,"$75,000 under $100,000",780,108219,1250,109350,960,71074,0,40,94,40,108,370,795,440,1143,460,2065,1250,78749,310,511,1240,13058,370,938,860,2500
"2162",37830,"$100,000 under $200,000",1510,275129,2020,277801,1670,182452,50,50,197,100,423,870,2531,990,3330,1030,6383,2020,219152,350,471,2010,39933,820,3286,1120,3994
"2163",37830,"$200,000 or more",410,190050,580,193814,490,102579,0,0,0,70,772,350,1497,420,2214,430,4520,580,170141,0,0,580,42167,320,4594,210,2140
"2164",37840,"Total",2410,160242,3790,161722,3050,122154,70,160,508,0,0,420,900,450,692,510,1692,2700,96531,650,821,3650,21496,520,1262,3160,8304
"2165",37840,"$1 under $25,000",850,21251,1700,21574,1240,14813,0,70,193,0,0,50,47,40,40,60,91,640,3700,40,14,1570,3873,130,110,1480,3211
"2166",37840,"$25,000 under $50,000",580,31579,880,31823,720,23826,40,40,122,0,0,70,91,70,93,90,202,850,15167,230,203,870,3756,110,166,760,2152
"2167",37840,"$50,000 under $75,000",410,33431,540,33651,470,25517,0,30,108,0,0,90,166,110,136,120,313,540,21439,180,280,540,3779,100,231,440,1226
"2168",37840,"$75,000 under $100,000",290,28798,340,28992,310,23127,30,20,85,0,0,80,188,90,138,90,344,340,20311,120,198,340,3455,80,178,260,908
"2169",37840,"$100,000 under $200,000",280,38888,310,39387,290,30826,0,0,0,0,0,130,408,140,285,150,742,310,30406,80,126,310,5565,100,577,220,807
